,temp,diff_coef,1/temp,red_diff,S_ex
0,0.6,0.16249832577211937,1.6666666666666667,0.22292922912858082,-3.3292638475
1,0.7,0.19884200929761842,1.4285714285714286,0.2525531977055638,-3.1838305926
2,0.8,0.2309574992747237,1.25,0.27439792550011477,-3.0592921354
3,1.0,0.3231449981883417,1.0,0.34339280141334066,-2.8615237371
4,1.2,0.39052620458910875,0.8333333333333334,0.378837800370367,-2.7042372555
5,1.4,0.4456423218552147,0.7142857142857143,0.40023600887086375,-2.5771877208
6,1.7,0.577474048414274,0.5882352941176471,0.4706540063384692,-2.4240087267
7,2.1,0.6876653245103713,0.47619047619047616,0.5042677880918675,-2.2677363398
8,2.5,0.9065706437959616,0.4,0.6092918881436105,-2.1446069345
9,2.9,0.9911546673047661,0.3448275862068966,0.6184949815362606,-2.0456652175
10,3.5,1.2641371116984288,0.2857142857142857,0.7180487123789411,-1.926254643
11,4.0,1.507103003340067,0.25,0.8007679605700858,-1.8453263117
12,5.0,1.7376502469673245,0.2,0.8257928398253633,-1.7191273975
