,temp,diff_coef,1/temp,red_diff,S_ex
0,1.2,0.0008299256730229345,0.8333333333333334,0.0008050860934407917,-5.8906964896
1,1.4,0.006212940922087354,0.7142857142857143,0.005579906925479567,-5.5632464555
2,1.6,0.017401735153323133,0.625,0.01461929103526323,-5.290580623
3,1.8,0.032526807960879735,0.5555555555555556,0.025763148791831454,-5.065768437
4,2.0,0.05028980535494904,0.5,0.037788417552216555,-4.8726375147
5,2.3,0.08010948299950743,0.4347826086956522,0.0561324191662646,-4.6292406633
6,2.6,0.1147655955392755,0.3846153846153846,0.07563429956881144,-4.4265677727
7,2.9,0.15191802327391885,0.3448275862068966,0.09479906426242565,-4.2547034651
8,3.5,0.23355494147416048,0.2857142857142857,0.1326626862255011,-3.9774693345
9,3.8,0.2728580095906691,0.2631578947368421,0.14874372629810456,-3.8629123273
10,4.1,0.3146609637551862,0.24390243902439027,0.1651371133902539,-3.7607146739
11,4.4,0.3617327943856477,0.22727272727272727,0.18325477248734934,-3.6688280538
12,4.7,0.4021862468922085,0.2127659574468085,0.19713876664172886,-3.5849498789
13,5.0,0.44984023972200965,0.2,0.2137799880477017,-3.5083100369
14,5.3,0.4877471856969673,0.18867924528301888,0.22513892396286997,-3.4379110088
15,5.6,0.5387512336042881,0.17857142857142858,0.24192904593797782,-3.3734374532
