,temp,diff_coef,1/temp,red_diff,S_ex
0,1.5,0.2660629902486707,0.6666666666666666,0.23085143945844747,-3.407746429
1,1.9,0.37505832977701853,0.5263157894736842,0.2891450511014978,-3.1447969383
2,2.3,0.4876692876083807,0.4347826086956522,0.3417080705253782,-2.9485938074
3,2.7,0.6041411068429773,0.37037037037037035,0.3907061555071471,-2.7937392642
4,3.1,0.7094497663870982,0.3225806451612903,0.4281880589657106,-2.6673394514
5,3.5,0.8417891689992055,0.2857142857142857,0.4781487888464225,-2.5614221693
6,3.9,0.9193429177693532,0.25641025641025644,0.49469666202987417,-2.4706805381
7,4.3,1.0685597119900814,0.23255813953488372,0.5475935408981537,-2.3922790728
8,4.7,1.158605726819731,0.2127659574468085,0.5679112743765741,-2.3228209796
9,5.1,1.2977850892878426,0.19607843137254904,0.6106768274706523,-2.2612150127
10,5.5,1.4063896240135414,0.18181818181818182,0.6372620518500737,-2.206071168
