,temp,diff_coef,1/temp,red_diff,S_ex
1,0.7,0.0005502404649153978,1.4285714285714286,0.0006988713773928063,-5.8558191797
2,0.8,0.0035434335473089533,1.25,0.004209912289414456,-5.5689819008
3,0.9,0.00986693688991644,1.1111111111111112,0.011052355469101377,-5.340489996
4,1.0,0.0182435791130928,1.0,0.019386695677088964,-5.1397868723
5,1.2,0.04170376388333942,0.8333333333333334,0.040455575044835476,-4.8119543683
6,1.4,0.06904702468395141,0.7142857142857143,0.06201185172195367,-4.5523531445
7,1.6,0.09860310252124736,0.625,0.08283699527875726,-4.3393032679
8,1.8,0.13382384845634374,0.5555555555555556,0.10599637455427209,-4.1604730334
9,2.0,0.16468806643843162,0.5,0.12374876730021381,-4.0076217138
10,2.3,0.22263011905367278,0.4347826086956522,0.15599610300609468,-3.8139989202
11,2.6,0.2774312389994095,0.3846153846153846,0.18283630509325313,-3.652475912
12,2.9,0.337994431641053,0.3448275862068966,0.21091345947616133,-3.5157975121
