0.005 0.00177777 0.00264054 0.00212581
0.01 0.0270091 0.0403201 0.0324011
0.02 0.354966 0.542 0.430898
0.04 2.78632 4.63437 3.51043
0.08 0.498095 1.59544 0.958044
0.16 2.09864 2.24407 2.27187
0.32 0.557245 1.26651 1.41496
0.64 0.448508 1.34372 1.12201
1.28 0.262877 0.732425 0.905703
2.56 0.249477 1.23554 0.988112
5.12 0.207457 0.92939 1.18001
10.24 0.232058 1.30823 1.00199
20.48 0.205601 1.34651 0.92526
40.96 0.229062 0.972171 0.950979
81.92 0.300645 0.907202 1.03207
163.84 0.228234 0.960166 0.821381
327.68 0.161238 1.02889 0.965724
655.36 0.268972 1.04327 1.06072
1310.72 0.266485 1.00785 0.655678
2621.44 0.237905 1.06845 0.820029
5242.88 0.289427 0.974495 0.938119
10485.8 0.274501 1.18321 0.734523
20971.5 0.267041 1.05799 0.923675
41943 0.204248 1.02466 0.892596
83886.1 0.239997 1.24098 1.23496
