# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
5.6000000000 -10.0909889918 2.9751315518 -7.1158574400 11.5909889918 -2.8040485510 8.7869404408
5.5800000000 -10.0856222598 2.9757351173 -7.1098871425 11.5856222598 -2.8074104296 8.7782118302
5.5600000000 -10.0802362576 2.9763308602 -7.1039053974 11.5802362576 -2.8106104900 8.7696257676
5.5400000000 -10.0748308463 2.9769186342 -7.0979122122 11.5748308463 -2.8138538777 8.7609769686
5.5200000000 -10.0694058856 2.9774982904 -7.0919075953 11.5694058856 -2.8174106768 8.7519952088
5.5000000000 -10.0639612336 2.9780696772 -7.0858915564 11.5639612336 -2.8207431750 8.7432180586
5.4800000000 -10.0584967467 2.9786326402 -7.0798641065 11.5584967467 -2.8242904560 8.7342062907
5.4600000000 -10.0530122798 2.9791870222 -7.0738252577 11.5530122798 -2.8279584031 8.7250538768
5.4400000000 -10.0475076865 2.9797326631 -7.0677750234 11.5475076865 -2.8314415847 8.7160661018
5.4200000000 -10.0419828184 2.9802694000 -7.0617134184 11.5419828184 -2.8349941944 8.7069886239
5.4000000000 -10.0364375256 2.9807970666 -7.0556404589 11.5364375256 -2.8383448659 8.6980926597
5.3800000000 -10.0308716565 2.9813154941 -7.0495561624 11.5308716565 -2.8420758622 8.6887957943
5.3600000000 -10.0252850578 2.9818245101 -7.0434605478 11.5252850578 -2.8456665567 8.6796185012
5.3400000000 -10.0196775747 2.9823239391 -7.0373536355 11.5196775747 -2.8491671491 8.6705104256
5.3200000000 -10.0140490502 2.9828136026 -7.0312354476 11.5140490502 -2.8528955883 8.6611534620
5.3000000000 -10.0083993260 2.9832933184 -7.0251060076 11.5083993260 -2.8565394374 8.6518598886
5.2800000000 -10.0027282418 2.9837629011 -7.0189653407 11.5027282418 -2.8602647097 8.6424635321
5.2600000000 -9.9970356353 2.9842221618 -7.0128134735 11.4970356353 -2.8639382351 8.6330974003
5.2400000000 -9.9913213427 2.9846709080 -7.0066504347 11.4913213427 -2.8677182044 8.6236031383
5.2200000000 -9.9855851981 2.9851089435 -7.0004762545 11.4855851981 -2.8713585363 8.6142266618
5.2000000000 -9.9798270336 2.9855360686 -6.9942909650 11.4798270336 -2.8750597227 8.6047673109
5.1800000000 -9.9740466796 2.9859520796 -6.9880946000 11.4740466796 -2.8789096900 8.5951369896
5.1600000000 -9.9682439645 2.9863567691 -6.9818871954 11.4682439645 -2.8826366543 8.5856073102
5.1400000000 -9.9624187144 2.9867499254 -6.9756687890 11.4624187144 -2.8865367434 8.5758819711
5.1200000000 -9.9565707538 2.9871313332 -6.9694394205 11.4565707538 -2.8901859762 8.5663847776
5.1000000000 -9.9506999048 2.9875007729 -6.9631991319 11.4506999048 -2.8941676725 8.5565322323
5.0800000000 -9.9448059876 2.9878580204 -6.9569479672 11.4448059876 -2.8977114441 8.5470945435
