# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
7.0000000000 -11.2366345350 1.5443975009 -9.6922370341 12.7366345350 -1.5461916534 11.1904428816
6.9500000000 -11.2258818008 1.5443245942 -9.6815572066 12.7258818008 -1.5491672092 11.1767145916
6.9000000000 -11.2150514288 1.5442267551 -9.6708246737 12.7150514288 -1.5529882837 11.1620631451
6.8500000000 -11.2041422898 1.5441031932 -9.6600390966 12.7041422898 -1.5567760492 11.1473662406
6.8000000000 -11.1931532297 1.5439530906 -9.6492001391 12.6931532297 -1.5599725441 11.1331806856
6.7500000000 -11.1820830688 1.5437756008 -9.6383074680 12.6820830688 -1.5637740159 11.1183090529
6.7000000000 -11.1709306010 1.5435698473 -9.6273607538 12.6709306010 -1.5676015446 11.1033290564
6.6500000000 -11.1596945934 1.5433349225 -9.6163596709 12.6596945934 -1.5711990135 11.0884955800
6.6000000000 -11.1483737850 1.5430698865 -9.6053038985 12.6483737850 -1.5748084696 11.0735653154
6.5500000000 -11.1369668859 1.5427737655 -9.5941931203 12.6369668859 -1.5792254415 11.0577414444
6.5000000000 -11.1254725768 1.5424455506 -9.5830270262 12.6254725768 -1.5817532675 11.0437193093
6.4500000000 -11.1138895076 1.5420841960 -9.5718053116 12.6138895076 -1.5859597423 11.0279297654
6.4000000000 -11.1022162970 1.5416886177 -9.5605276793 12.6022162970 -1.5903118630 11.0119044340
6.3500000000 -11.0904515308 1.5412576918 -9.5491938390 12.5904515308 -1.5943023869 10.9961491439
6.3000000000 -11.0785937615 1.5407902526 -9.5378035090 12.5785937615 -1.5982593571 10.9803344044
6.2500000000 -11.0666415070 1.5402850908 -9.5263564162 12.5666415070 -1.6010385161 10.9656029910
6.2000000000 -11.0545932495 1.5397409520 -9.5148522975 12.5545932495 -1.6057639949 10.9488292546
6.1500000000 -11.0424474342 1.5391565338 -9.5032909003 12.5424474342 -1.6100438630 10.9324035712
6.1000000000 -11.0302024682 1.5385304847 -9.4916719835 12.5302024682 -1.6140818429 10.9161206253
6.0500000000 -11.0178567195 1.5378614008 -9.4799953187 12.5178567195 -1.6181733959 10.8996833236
6.0000000000 -11.0054085153 1.5371478245 -9.4682606908 12.5054085153 -1.6224352507 10.8829732646
5.9500000000 -10.9928561408 1.5363882410 -9.4564678998 12.4928561408 -1.6268485530 10.8660075878
5.9000000000 -10.9801978378 1.5355810765 -9.4446167613 12.4801978378 -1.6316714820 10.8485263558
5.8500000000 -10.9674318033 1.5347246950 -9.4327071083 12.4674318033 -1.6362284251 10.8312033782
5.8000000000 -10.9545561878 1.5338173954 -9.4207387923 12.4545561878 -1.6398814099 10.8146747778
5.7500000000 -10.9415690936 1.5328574085 -9.4087116852 12.4415690936 -1.6442407805 10.7973283131
5.7000000000 -10.9284685737 1.5318428937 -9.3966256800 12.4284685737 -1.6487459439 10.7797226298
5.6500000000 -10.9152526292 1.5307719356 -9.3844806935 12.4152526292 -1.6530167851 10.7622358440
5.6000000000 -10.9019192080 1.5296425405 -9.3722766675 12.4019192080 -1.6582722498 10.7436469582
5.5500000000 -10.8884662031 1.5284526322 -9.3600135709 12.3884662031 -1.6631252532 10.7253409498
5.5000000000 -10.8748914498 1.5272000482 -9.3476914016 12.3748914498 -1.6674382422 10.7074532076
5.4500000000 -10.8611927244 1.5258825354 -9.3353101891 12.3611927244 -1.6724466008 10.6887461236
5.4000000000 -10.8473677418 1.5244977455 -9.3228699963 12.3473677418 -1.6778785743 10.6694891675
5.3500000000 -10.8334141528 1.5230432301 -9.3103709227 12.3334141528 -1.6822677374 10.6511464154
5.3000000000 -10.8193295423 1.5215164357 -9.2978131066 12.3193295423 -1.6872624668 10.6320670754
5.2500000000 -10.8051114263 1.5199146982 -9.2851967281 12.3051114263 -1.6933157635 10.6117956629
5.2000000000 -10.7907572498 1.5182352373 -9.2725220125 12.2907572498 -1.6979169582 10.5928402916
5.1500000000 -10.7762643834 1.5164751502 -9.2597892332 12.2762643834 -1.7029601617 10.5733042217
5.1000000000 -10.7616301210 1.5146314052 -9.2469987158 12.2616301210 -1.7083933505 10.5532367705
5.0500000000 -10.7468516764 1.5127008347 -9.2341508416 12.2468516764 -1.7131964093 10.5336552671
5.0000000000 -10.7319261801 1.5106801283 -9.2212460518 12.2319261801 -1.7191273975 10.5127987825
4.9500000000 -10.7168506763 1.5085658243 -9.2082848520 12.2168506763 -1.7245177875 10.4923328888
4.9000000000 -10.7016221191 1.5063543021 -9.1952678170 12.2016221191 -1.7302616500 10.4713604691
4.8500000000 -10.6862373689 1.5040417729 -9.1821955959 12.1862373689 -1.7354958791 10.4507414897
4.8000000000 -10.6706931883 1.5016242705 -9.1690689178 12.1706931883 -1.7415300018 10.4291631865
