# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
5.6000000000 -9.9856284762 3.9193286896 -6.0662997866 11.4856284762 -3.3734374532 8.1121910230
5.5800000000 -9.9802617441 3.9212476538 -6.0590140904 11.4802617441 -3.3775101578 8.1027515864
5.5600000000 -9.9748757419 3.9231656167 -6.0517101253 11.4748757419 -3.3813657942 8.0935099478
5.5400000000 -9.9694703307 3.9250824925 -6.0443878382 11.4694703307 -3.3858373134 8.0836330173
5.5200000000 -9.9640453700 3.9269981938 -6.0370471762 11.4640453700 -3.3900407544 8.0740046155
5.5000000000 -9.9586007179 3.9289126308 -6.0296880871 11.4586007179 -3.3943644394 8.0642362785
5.4800000000 -9.9531362310 3.9308257121 -6.0223105189 11.4531362310 -3.3982619961 8.0548742349
5.4600000000 -9.9476517642 3.9327373441 -6.0149144201 11.4476517642 -3.4028982159 8.0447535483
5.4400000000 -9.9421471709 3.9346474311 -6.0074997398 11.4421471709 -3.4072813083 8.0348658625
5.4200000000 -9.9366223027 3.9365558753 -6.0000664274 11.4366223027 -3.4116307011 8.0249916016
5.4000000000 -9.9310770099 3.9384625770 -5.9926144329 11.4310770099 -3.4162460360 8.0148309739
5.3800000000 -9.9255111408 3.9403674338 -5.9851437070 11.4255111408 -3.4203523629 8.0051587779
5.3600000000 -9.9199245422 3.9422703415 -5.9776542007 11.4199245422 -3.4248001175 7.9951244247
5.3400000000 -9.9143170590 3.9441711933 -5.9701458657 11.4143170590 -3.4293039716 7.9850130874
5.3200000000 -9.9086885346 3.9460698800 -5.9626186545 11.4086885346 -3.4336152253 7.9750733093
5.3000000000 -9.9030388104 3.9479662903 -5.9550725201 11.4030388104 -3.4379110088 7.9651278016
5.2800000000 -9.8973677261 3.9498603100 -5.9475074161 11.3973677261 -3.4424666580 7.9549010682
5.2600000000 -9.8916751197 3.9517518226 -5.9399232970 11.3916751197 -3.4473431183 7.9443320014
5.2400000000 -9.8859608271 3.9536407091 -5.9323201180 11.3859608271 -3.4517265779 7.9342342492
5.2200000000 -9.8802246824 3.9555268476 -5.9246978348 11.3802246824 -3.4563062537 7.9239184286
5.2000000000 -9.8744665179 3.9574101135 -5.9170564044 11.3744665179 -3.4610981812 7.9133683367
5.1800000000 -9.8686861640 3.9592903797 -5.9093957843 11.3686861640 -3.4656019276 7.9030842364
5.1600000000 -9.8628834488 3.9611675159 -5.9017159329 11.3628834488 -3.4702041649 7.8926792839
5.1400000000 -9.8570581988 3.9630413891 -5.8940168097 11.3570581988 -3.4747764260 7.8822817728
5.1200000000 -9.8512102381 3.9649118632 -5.8862983749 11.3512102381 -3.4792208638 7.8719893743
5.1000000000 -9.8453393891 3.9667787992 -5.8785605900 11.3453393891 -3.4841627182 7.8611766709
5.0800000000 -9.8394454719 3.9686420548 -5.8708034172 11.3394454719 -3.4887924768 7.8506529952
5.0600000000 -9.8335283045 3.9705014845 -5.8630268200 11.3335283045 -3.4937779932 7.8397503113
