# T FID/(NkBT) FEX/(NkBT) FTOT/(NkBT) SID/(NkB) SEX/(NkB) STOT/(NkB)
7.0000000000 -10.5860469689 1.9257037423 -8.6603432265 12.0860469689 -1.9165101116 10.1695368573
6.9500000000 -10.5752942347 1.9257184706 -8.6495757641 12.0752942347 -1.9209448498 10.1543493849
6.9000000000 -10.5644638627 1.9257026895 -8.6387611732 12.0644638627 -1.9254642039 10.1389996588
6.8500000000 -10.5535547237 1.9256554166 -8.6278993071 12.0535547237 -1.9298659737 10.1236887500
6.8000000000 -10.5425656636 1.9255756350 -8.6169900285 12.0425656636 -1.9344405469 10.1081251166
6.7500000000 -10.5314955026 1.9254622918 -8.6060332108 12.0314955026 -1.9388888313 10.0926066713
6.7000000000 -10.5203430349 1.9253142968 -8.5950287380 12.0203430349 -1.9436084185 10.0767346164
6.6500000000 -10.5091070273 1.9251305210 -8.5839765063 12.0091070273 -1.9481569707 10.0609500566
6.6000000000 -10.4977862188 1.9249097947 -8.5728764241 11.9977862188 -1.9528373881 10.0449488308
6.5500000000 -10.4863793198 1.9246509060 -8.5617284137 11.9863793198 -1.9576306679 10.0287486519
6.5000000000 -10.4748850106 1.9243525990 -8.5505324116 11.9748850106 -1.9620805435 10.0128044672
6.4500000000 -10.4633019415 1.9240135718 -8.5392883697 11.9633019415 -1.9671723627 9.9961295788
6.4000000000 -10.4516287308 1.9236324746 -8.5279962562 11.9516287308 -1.9719808627 9.9796478682
6.3500000000 -10.4398639646 1.9232079077 -8.5166560570 11.9398639646 -1.9769520198 9.9629119449
6.3000000000 -10.4280061954 1.9227384190 -8.5052677764 11.9280061954 -1.9819853589 9.9460208365
6.2500000000 -10.4160539409 1.9222225021 -8.4938314388 11.9160539409 -1.9869856792 9.9290682617
6.2000000000 -10.4040056834 1.9216585936 -8.4823470897 11.9040056834 -1.9920851608 9.9119205226
6.1500000000 -10.3918598680 1.9210450708 -8.4708147972 11.8918598680 -1.9973250176 9.8945348504
6.1000000000 -10.3796149021 1.9203802487 -8.4592346533 11.8796149021 -2.0025107794 9.8771041227
6.0500000000 -10.3672691534 1.9196623775 -8.4476067758 11.8672691534 -2.0076740546 9.8595950987
6.0000000000 -10.3548209491 1.9188896395 -8.4359313097 11.8548209491 -2.0130837171 9.8417372320
5.9500000000 -10.3422685746 1.9180601457 -8.4242084289 11.8422685746 -2.0185612892 9.8237072854
5.9000000000 -10.3296102717 1.9171719332 -8.4124383384 11.8296102717 -2.0240116620 9.8055986097
5.8500000000 -10.3168442372 1.9162229610 -8.4006212761 11.8168442372 -2.0296746178 9.7871696194
5.8000000000 -10.3039686216 1.9152111067 -8.3887575149 11.8039686216 -2.0350378642 9.7689307574
5.7500000000 -10.2909815275 1.9141341626 -8.3768473649 11.7909815275 -2.0406184811 9.7503630464
5.7000000000 -10.2778810075 1.9129898316 -8.3648911760 11.7778810075 -2.0463322581 9.7315487495
5.6500000000 -10.2646650630 1.9117757227 -8.3528893404 11.7646650630 -2.0521192871 9.7125457759
5.6000000000 -10.2513316419 1.9104893466 -8.3408422953 11.7513316419 -2.0579896373 9.6933420046
5.5500000000 -10.2378786369 1.9091281112 -8.3287505258 11.7378786369 -2.0640167314 9.6738619055
5.5000000000 -10.2243038836 1.9076893157 -8.3166145680 11.7243038836 -2.0699540363 9.6543498474
5.4500000000 -10.2106051583 1.9061701459 -8.3044350124 11.7106051583 -2.0760862631 9.6345188952
5.4000000000 -10.1967801756 1.9045676683 -8.2922125073 11.6967801756 -2.0823921406 9.6143880350
5.3500000000 -10.1828265866 1.9028788238 -8.2799477628 11.6828265866 -2.0884404032 9.5943861835
5.3000000000 -10.1687419761 1.9011004217 -8.2676415545 11.6687419761 -2.0949632035 9.5737787726
5.2500000000 -10.1545238602 1.8992291322 -8.2552947279 11.6545238602 -2.1011838521 9.5533400081
5.2000000000 -10.1401696837 1.8972614802 -8.2429082034 11.6401696837 -2.1079354888 9.5322341949
5.1500000000 -10.1256768173 1.8951938367 -8.2304829806 11.6256768173 -2.1142487900 9.5114280273
5.1000000000 -10.1110425549 1.8930224110 -8.2180201439 11.6110425549 -2.1207816557 9.4902608991
5.0500000000 -10.0962641102 1.8907432421 -8.2055208681 11.5962641102 -2.1275896479 9.4686744623
5.0000000000 -10.0813386139 1.8883521896 -8.1929864243 11.5813386139 -2.1342805592 9.4470580548
4.9500000000 -10.0662631102 1.8858449235 -8.1804181867 11.5662631102 -2.1416542309 9.4246088793
4.9000000000 -10.0510345530 1.8832169141 -8.1678176389 11.5510345530 -2.1484209518 9.4026136012
4.8500000000 -10.0356498027 1.8804634208 -8.1551863819 11.5356498027 -2.1556440975 9.3800057053
4.8000000000 -10.0201056222 1.8775794803 -8.1425261419 11.5201056222 -2.1630052763 9.3571003459
4.7500000000 -10.0043986724 1.8745598940 -8.1298387784 11.5043986724 -2.1699979136 9.3344007587
4.7000000000 -9.9885255084 1.8713992142 -8.1171262941 11.4885255084 -2.1775002712 9.3110252372
4.6500000000 -9.9724825747 1.8680917304 -8.1043908443 11.4724825747 -2.1852678176 9.2872147571
4.6000000000 -9.9562662005 1.8646314531 -8.0916347475 11.4562662005 -2.1927270813 9.2635391192
4.5500000000 -9.9398725947 1.8610120979 -8.0788604969 11.4398725947 -2.2006690459 9.2392035488
4.5000000000 -9.9232978405 1.8572270678 -8.0660707727 11.4232978405 -2.2083667857 9.2149310547
4.4500000000 -9.9065378896 1.8532694343 -8.0532684553 11.4065378896 -2.2163699874 9.1901679022
4.4000000000 -9.8895885567 1.8491319172 -8.0404566395 11.3895885567 -2.2247328925 9.1648556642
4.3500000000 -9.8724455129 1.8448068630 -8.0276386500 11.3724455129 -2.2329111453 9.1395343677
4.3000000000 -9.8551042793 1.8402862216 -8.0148180577 11.3551042793 -2.2412373850 9.1138668944
4.2500000000 -9.8375602197 1.8355615215 -8.0019986982 11.3375602197 -2.2498369057 9.0877233140
4.2000000000 -9.8198085332 1.8306238427 -7.9891846905 11.3198085332 -2.2584622509 9.0613462823
4.1500000000 -9.8018442466 1.8254637882 -7.9763804585 11.3018442466 -2.2671965669 9.0346476798
4.1000000000 -9.7836622059 1.8200714526 -7.9635907532 11.2836622059 -2.2763166045 9.0073456013
4.0500000000 -9.7652570670 1.8144363889 -7.9508206780 11.2652570670 -2.2851235747 8.9801334923
4.0000000000 -9.7466232870 1.8085475723 -7.9380757147 11.2466232870 -2.2943916690 8.9522316179
3.9500000000 -9.7277551137 1.8023933610 -7.9253617527 11.2277551137 -2.3038138645 8.9239412491
3.9000000000 -9.7086465750 1.7959614546 -7.9126851204 11.2086465750 -2.3134532750 8.8951933000
3.8500000000 -9.6892914677 1.7892388481 -7.9000526197 11.1892914677 -2.3231221353 8.8661693324
3.8000000000 -9.6696833454 1.7822117829 -7.8874715625 11.1696833454 -2.3330218487 8.8366614967
3.7500000000 -9.6498155053 1.7748656935 -7.8749498118 11.1498155053 -2.3430480103 8.8067674950
3.7000000000 -9.6296809748 1.7671851491 -7.8624958257 11.1296809748 -2.3533089869 8.7763719879
3.6500000000 -9.6092724967 1.7591537913 -7.8501187054 11.1092724967 -2.3639246346 8.7453478621
3.6000000000 -9.5885825135 1.7507542655 -7.8378282480 11.0885825135 -2.3745329279 8.7140495855
3.5500000000 -9.5676031505 1.7419681465 -7.8256350041 11.0676031505 -2.3856080260 8.6819951245
3.5000000000 -9.5463261980 1.7327758575 -7.8135503405 11.0463261980 -2.3964104129 8.6499157851
3.4500000000 -9.5247430919 1.7231565822 -7.8015865097 11.0247430919 -2.4077902602 8.6169528316
3.4000000000 -9.5028448927 1.7130881677 -7.7897567251 11.0028448927 -2.4192630984 8.5835817943
3.3500000000 -9.4806222640 1.7025470195 -7.7780752445 10.9806222640 -2.4310676071 8.5495546569
3.3000000000 -9.4580654480 1.6915079863 -7.7665574617 10.9580654480 -2.4431516525 8.5149137955
3.2500000000 -9.4351642398 1.6799442330 -7.7552200068 10.9351642398 -2.4554551633 8.4797090765
3.2000000000 -9.4119079600 1.6678271025 -7.7440808575 10.9119079600 -2.4677011167 8.4442068433
3.1500000000 -9.3882854245 1.6551259629 -7.7331594616 10.8882854245 -2.4805193896 8.4077660350
3.1000000000 -9.3642849125 1.6418080398 -7.7224768727 10.8642849125 -2.4937304614 8.3705544511
3.0500000000 -9.3398941312 1.6278382314 -7.7120558998 10.8398941312 -2.5071427497 8.3327513815
3.0000000000 -9.3151001783 1.6131789044 -7.7019212739 10.8151001783 -2.5205762329 8.2945239454
2.9500000000 -9.2898895008 1.5977896684 -7.6920998324 10.7898895008 -2.5344701332 8.2554193676
2.9000000000 -9.2642478508 1.5816271261 -7.6826207247 10.7642478508 -2.5489247527 8.2153230981
2.8500000000 -9.2381602367 1.5646445964 -7.6735156404 10.7381602367 -2.5634764722 8.1746837645
2.8000000000 -9.2116108711 1.5467918064 -7.6648190647 10.7116108711 -2.5785921256 8.1330187455
2.7500000000 -9.1845831128 1.5280145492 -7.6565685636 10.6845831128 -2.5936668631 8.0909162497
2.7000000000 -9.1570594048 1.5082543021 -7.6488051027 10.6570594048 -2.6092187311 8.0478406737
2.6500000000 -9.1290212053 1.4874477996 -7.6415734057 10.6290212053 -2.6253506199 8.0036705854
2.6000000000 -9.1004489128 1.4655265567 -7.6349223561 10.6004489128 -2.6422203956 7.9582285172
2.5500000000 -9.0713217840 1.4424163330 -7.6289054510 10.5713217840 -2.6589446765 7.9123771075
2.5000000000 -9.0416178431 1.4180365311 -7.6235813120 10.5416178431 -2.6765000144 7.8651178287
2.4500000000 -9.0113137821 1.3922995189 -7.6190142632 10.5113137821 -2.6942730292 7.8170407529
2.4000000000 -8.9803848513 1.3651098643 -7.6152749870 10.4803848513 -2.7127240314 7.7676608199
2.3500000000 -8.9488047375 1.3363634694 -7.6124412681 10.4488047375 -2.7313817735 7.7174229640
2.3000000000 -8.9165454297 1.3059465881 -7.6105988415 10.4165454297 -2.7509155361 7.6656298935
2.2500000000 -8.8835770696 1.2737347089 -7.6098423607 10.3835770696 -2.7710231605 7.6125539092
2.2000000000 -8.8498677858 1.2395912805 -7.6102765053 10.3498677858 -2.7917018771 7.5581659087
2.1500000000 -8.8153835085 1.2033662550 -7.6120172535 10.3153835085 -2.8132291971 7.5021543114
2.1000000000 -8.7800877624 1.1648944160 -7.6151933464 10.2800877624 -2.8349896457 7.4450981166
2.0500000000 -8.7439414350 1.1239934561 -7.6199479789 10.2439414350 -2.8578056366 7.3861357984
2.0000000000 -8.7069025161 1.0804617573 -7.6264407588 10.2069025161 -2.8811379002 7.3257646159
1.9500000000 -8.6689258041 1.0340758203 -7.6348499839 10.1689258041 -2.9053812412 7.2635445629
1.9000000000 -8.6299625745 0.9845872775 -7.6453752970 10.1299625745 -2.9306869033 7.1992756713
1.8500000000 -8.5899602039 0.9317194086 -7.6582407953 10.0899602039 -2.9566838269 7.1332763770
1.8000000000 -8.5488617426 0.8751630596 -7.6736986830 10.0488617426 -2.9833157150 7.0655460277
1.7500000000 -8.5066054272 0.8145718446 -7.6920335826 10.0066054272 -3.0114181641 6.9951872631
1.7000000000 -8.4631241219 0.7495564795 -7.7135676424 9.9631241219 -3.0406162398 6.9225078821
1.6500000000 -8.4183446772 0.6796780599 -7.7386666173 9.9183446772 -3.0705915300 6.8477531471
1.6000000000 -8.3721871892 0.6044400468 -7.7677471423 9.8721871892 -3.1024904021 6.7696967871
1.5500000000 -8.3245641417 0.5232786656 -7.8012854761 9.8245641417 -3.1352210259 6.6893431158
1.5000000000 -8.2753794074 0.4355513379 -7.8398280695 9.7753794074 -3.1697092264 6.6056701811
